第二天堂 	林俊杰 	第二天堂 
第二天堂 	林俊杰 	Endless Road 
西界 	林俊杰 	西界 
因你而在 	林俊杰 	修炼爱情 
JJ陆 	林俊杰 	点一把火炬 
新地球 	林俊杰 	生生 
第二天堂 	林俊杰 	未完成 
因你而在 	林俊杰 	巴洛克先生 
第二天堂 	林俊杰 	美人鱼 
JJ陆 	林俊杰 	主角 
新地球 	林俊杰 	爱的鼓励 
100天 	林俊杰 	一个又一个 
因你而在 	林俊杰 	因你而在 
新地球 	林俊杰 	I Am Alive 
第二天堂 	林俊杰 	距离 
JJ陆 	林俊杰 	街道 
伟大的渺小 	林俊杰 	Until The Day 
伟大的渺小 	林俊杰 	伟大的渺小 
100天 	林俊杰 	跟屁虫 
JJ陆 	林俊杰 	Always Online 
新地球 	林俊杰 	可惜没如果 
乐行者 	林俊杰 	不懂 
第二天堂 	林俊杰 	相信无限 
新地球 	林俊杰 	手心的蔷薇 
第二天堂 	林俊杰 	精灵 
编号89757 	林俊杰 	一千年以后 
乐行者 	林俊杰 	女儿家 
乐行者 	林俊杰 	让我心动的人 
新地球 	林俊杰 	黑鍵 
乐行者 	林俊杰 	会有那么一天 
第二天堂 	林俊杰 	森林浴 
乐行者 	林俊杰 	星空下的吻 
编号89757 	林俊杰 	来不及了 
新地球 	林俊杰 	浪漫血液 
乐行者 	林俊杰 	冻结 
伟大的渺小 	林俊杰 	Until the Day 
JJ陆 	林俊杰 	小酒窝 
乐行者 	林俊杰 	压力 
100天 	林俊杰 	第几个一百天 
第二天堂 	林俊杰 	天使心 
新地球 	林俊杰 	水仙 
乐行者 	林俊杰 	星球 
第二天堂 	林俊杰 	害怕 
伟大的渺小 	林俊杰 	小瓶子 
伟大的渺小 	林俊杰 	身为风帆 
编号89757 	林俊杰 	听不懂 没关系 
编号89757 	林俊杰 	盗 
100天 	林俊杰 	X 
乐行者 	林俊杰 	会读书 
第二天堂 	林俊杰 	江南 
JJ陆 	林俊杰 	不潮不用花钱 
听见幸福 	林俊杰 	听见幸福 
伟大的渺小 	林俊杰 	丹宁执着 
伟大的渺小 	林俊杰 	黑夜问白天 
乐行者 	林俊杰 	翅膀 
新地球 	林俊杰 	新地球 
第二天堂 	林俊杰 	豆浆油条 
编号89757 	林俊杰 	无尽的思念 
小瓶子 	林俊杰 	小瓶子 
编号89757 	林俊杰 	简简单单 
新地球 	林俊杰 	回 
伟大的渺小 	林俊杰 	剪云者 
乐行者 	林俊杰 	就是我 
JJ陆 	林俊杰 	SIXOLOGY 
编号89757 	林俊杰 	明天 
黑夜问白天 	林俊杰 	黑夜问白天 
第二天堂 	林俊杰 	起床了 
伟大的渺小 	林俊杰 	我继续 
编号89757 	林俊杰 	突然累了 
第二天堂 	林俊杰 	一开始 
编号89757 	林俊杰 	编号89757 
I Pray For You 	林俊杰 	I Pray For You 
伟大的渺小 	林俊杰 	穿越 
伟大的渺小 	林俊杰 	伟大的渺小 
感动每一刻 	林俊杰 	感动每一刻 
Our Singapore 	林俊杰 	Our Singapore 
编号89757 	林俊杰 	木乃伊 
伟大的渺小 	林俊杰 	圣所 
Cheer Singapore 	林俊杰 	Cheer Singapore 
Dreams (Theme of "Chingay Parade Singapore 2015") 	林俊杰 	Dreams (Theme of "Chingay Parade Singapore 2015") 
只要有你的地方 	林俊杰 	只要有你的地方 
编号89757 	林俊杰 	一千年以前 
全面开战 	林俊杰 	全面开战 
你，有没有过 	林俊杰 	你，有没有过 
不为谁而作的歌 	林俊杰 	不为谁而作的歌 
和自己对话-感动双推荐 	林俊杰 	只要有你的地方(晚安版) 
100天Love音乐实录 	林俊杰 	第几个100天 
忘记 	林俊杰 	忘记 
音乐进化全过程 	林俊杰 	木乃伊 (Live) - live 
她说 概念自选辑 	林俊杰 	她说 
和自己对话 From M.E. To Myself 	林俊杰 	序曲：调音 
和自己对话-感动双推荐 	林俊杰 	有梦不难 
和自己对话 From M.E. To Myself 	林俊杰 	不为谁而作的歌 
她说 概念自选辑 	林俊杰 	爱笑的眼睛 
100天Love音乐实录 	林俊杰 	背对背拥抱 
100天Love音乐实录 	林俊杰 	翅膀 
I AM 世界巡迴演唱会 	林俊杰 	曹操 (Live) - live 
音乐进化全过程 	林俊杰 	编号89757 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	杀手 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	冻结 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	弹唱 
和自己对话 From M.E. To Myself 	林俊杰 	只要有你的地方 (晚安版) 
她说 概念自选辑 	林俊杰 	保护色 
100天Love音乐实录 	林俊杰 	记得+心墙+当你 
I AM 世界巡迴演唱会 	林俊杰 	只对你说 (Live) - live 
她说 概念自选辑 	林俊杰 	一眼万年 
音乐进化全过程 	林俊杰 	明天 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	背对背拥抱 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	X (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	序曲：Welcome to the Livehouse 
她说 概念自选辑 	林俊杰 	心墙 
100天Love音乐实录 	林俊杰 	加油 
I AM 世界巡迴演唱会 	林俊杰 	黑武士 (Live) - live 
音乐进化全过程 	林俊杰 	就是我 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	有梦不难 
她说 概念自选辑 	林俊杰 	握不住的他 
学不会 	林俊杰 	Cinderella 
I AM 世界巡迴演唱会 	林俊杰 	妈妈的娜鲁娃 (Live) - live 
她说 概念自选辑 	林俊杰 	真材实料的我 
I AM 世界巡迴演唱会 	林俊杰 	加油 (Live) - live 
学不会 	林俊杰 	We Together 
I AM 世界巡迴演唱会 	林俊杰 	无法克制 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	Lier and Accuser 
音乐进化全过程 	林俊杰 	听不懂没关系 (Live) - live 
学不会 	林俊杰 	Love U U 
音乐进化全过程 	林俊杰 	唯一 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	一个又一个 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	序曲：海边 终 
音乐进化全过程 	林俊杰 	第二天堂 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	I AM (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	你，有没有过 
学不会 	林俊杰 	不存在的情人 
音乐进化全过程 	林俊杰 	一千年以后 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	主角 (Live) - live 
音乐进化全过程 	林俊杰 	波间带 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	街道 (Live) - live 
音乐进化全过程 	林俊杰 	只对你说 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	跟屁虫 (Live) - live 
音乐进化全过程 	林俊杰 	豆浆油条 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	波间带 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	豆浆油条 (Live) - live 
音乐进化全过程 	林俊杰 	忘记 (Live) - live 
音乐进化全过程 	林俊杰 	美人鱼 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	江南 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	小酒窝 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	期待爱 (Live) - live 
音乐进化全过程 	林俊杰 	江南 (Live) - live 
音乐进化全过程 	林俊杰 	进化论 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	一千年以后 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	转动 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	不潮不用花钱 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	爱笑的眼睛 (Live) - live 
音乐进化全过程 	林俊杰 	子弹列车 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	记得 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	只要有你的地方 
音乐进化全过程 	林俊杰 	黑色幽默 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	独舞 
她说 概念自选辑 	林俊杰 	I AM 
和自己对话 From M.E. To Myself 	林俊杰 	序曲：海边 初 
学不会 	林俊杰 	陌生老朋友 
学不会 	林俊杰 	白羊梦 
学不会 	林俊杰 	白兰花 
音乐进化全过程 	林俊杰 	熟能生巧 (Live) - live 
学不会 	林俊杰 	灵魂的共鸣 
和自己对话 From M.E. To Myself 	林俊杰 	序曲：12年前 
I AM 世界巡迴演唱会 	林俊杰 	他说:她说 金曲组曲 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	现在的我和她 
音乐进化全过程 	林俊杰 	记得 (Live) - live 
她说 概念自选辑 	林俊杰 	完美新世界 
学不会 	林俊杰 	那些你很冒险的梦 
音乐进化全过程 	林俊杰 	I Do (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	她说 (Live) - live 
她说 概念自选辑 	林俊杰 	记得 
学不会 	林俊杰 	故事细腻 
音乐进化全过程 	林俊杰 	爱笑的眼睛 (Live) - live 
I AM 世界巡迴演唱会 	林俊杰 	第二天堂 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	你，有没有过 (Livehouse版) 
她说 概念自选辑 	林俊杰 	一生的爱 
学不会 	林俊杰 	学不会 
音乐进化全过程 	林俊杰 	被风吹过的夏天 (Live) - live 
她说 概念自选辑 	林俊杰 	我很想爱他 
音乐进化全过程 	金莎 	不可思议 (Live) - live 
学不会 	林俊杰 	独奏 
100天Love音乐实录 	林俊杰 	爱与希望 
和自己对话 From M.E. To Myself 	林俊杰 	Too Bad 
音乐进化全过程 	林俊杰 	盗 (Live) - live 
100天Love音乐实录 	林俊杰 	小酒窝 
100天Love音乐实录 	林俊杰 	转动 
100天Love音乐实录 	林俊杰 	妈妈的娜鲁娃 
她说 概念自选辑 	林俊杰 	当你 
音乐进化全过程 	林俊杰 	简简单单 (Live) - live 
100天Love音乐实录 	林俊杰 	豆浆油条 
100天Love音乐实录 	林俊杰 	一个又一个 
I AM 世界巡迴演唱会 	林俊杰 	编号89757 (Live) - live 
音乐进化全过程 	林俊杰 	原来 (Live) - live 
和自己对话 From M.E. To Myself 	林俊杰 	关键词 
和自己对话 From M.E. To Myself 	林俊杰 	序曲：中场休息 
她说 概念自选辑 	林俊杰 	只对你有感觉 
100天Love音乐实录 	林俊杰 	无法克制 
音乐进化全过程 	林俊杰 	翅膀 (Live) - live 
